question,answer
Artificial Intelligence or AI is going to take away many jobs. How Sitare looks to immune its students to tackle this obstacle?,"The best way to deal with any job scarcity situation is to provide a broad exposure to students so that they can aspire to compete in multiple domains. Sitare University focusses on all application oriented areas of Computer Science like Data Structures, Algorithms, Data Science, Machine Learning, Deep Learning, Artificial Intelligence, Database Management Systems, Computer Networks, etc"
How will Sitare University deal with job scarcity?,"The best way to deal with any job scarcity situation is to provide a broad exposure to students so that they can aspire to compete in multiple domains. Sitare University focusses on all application oriented areas of Computer Science like Data Structures, Algorithms, Data Science, Machine Learning, Deep Learning, Artificial Intelligence, Database Management Systems, Computer Networks, etc"
How will Sitare University deal with recession in job market?,"The best way to deal with any job scarcity situation is to provide a broad exposure to students so that they can aspire to compete in multiple domains. Sitare University focusses on all application oriented areas of Computer Science like Data Structures, Algorithms, Data Science, Machine Learning, Deep Learning, Artificial Intelligence, Database Management Systems, Computer Networks, etc"
How will Sitare University deal with lack of jobs?,"The best way to deal with any job scarcity situation is to provide a broad exposure to students so that they can aspire to compete in multiple domains. Sitare University focusses on all application oriented areas of Computer Science like Data Structures, Algorithms, Data Science, Machine Learning, Deep Learning, Artificial Intelligence, Database Management Systems, Computer Networks, etc"
Will students get job in data science?,We provide extensive practical training in topics related to Data Science and so we are confident that students who are in interested in this field will surely get suitable placement opportunities.
Will students get job in machine learning?,We provide extensive practical training in topics related to Data Science and so we are confident that students who are in interested in this field will surely get suitable placement opportunities.
Will students get job in artificial intelligence or ai?,We provide extensive practical training in topics related to Data Science and so we are confident that students who are in interested in this field will surely get suitable placement opportunities.
What is the average package?,"Our first batch is now in third year, and so it will take one more years for us to provide placement information. But given the quality of our training and the large network of startups that we have, placements and packages will not be a problem for any student."
What is the average package of last batch?,"Our first batch is now in third year, and so it will take one more years for us to provide placement information. But given the quality of our training and the large network of startups that we have, placements and packages will not be a problem for any student."
What package did you expect to get after their graduation?,"Our first batch is now in third year, and so it will take one more years for us to provide placement information. But given the quality of our training and the large network of startups that we have, placements and packages will not be a problem for any student."
When was the first batch started?,The first batch was started in 2022.
How many batches are there?,"The first batch was started in 2022. As of 2024, we have three batches."
Will every student have placement?,"Sitare University has an industry focussed curriculum, provides individual attention to all students, and takes full responsibility for student placements."
Who are the top recruiters?,"As of 2024, Our placements are yet to happen since our first batch is in its third year. But our students have been offered internships in their first year itself by startups like Glean, Inmobi, Mathesis Advisers, Trademo, Chalo, Beans.ai, Skyroot, Yulu, Zeni, Tracxn, Moglix, Proshort, ChaiPoint, FirstHive and many more."
Which companies are hiring?,"As of 2024, Our placements are yet to happen since our first batch is in its third year. But our students have been offered internships in their first year itself by startups like Glean, Inmobi, Mathesis Advisers, Trademo, Chalo, Beans.ai, Skyroot, Yulu, Zeni, Tracxn, Moglix, Proshort, ChaiPoint, FirstHive and many more."
Which companies come for placement?,"As of 2024, Our placements are yet to happen since our first batch is in its third year. But our students have been offered internships in their first year itself by startups like Glean, Inmobi, Mathesis Advisers, Trademo, Chalo, Beans.ai, Skyroot, Yulu, Zeni, Tracxn, Moglix, Proshort, ChaiPoint, FirstHive and many more."
Which companies come for placements?,"As of 2024, Our placements are yet to happen since our first batch is in its third year. But our students have been offered internships in their first year itself by startups like Glean, Inmobi, Mathesis Advisers, Trademo, Chalo, Beans.ai, Skyroot, Yulu, Zeni, Tracxn, Moglix, Proshort, ChaiPoint, FirstHive and many more."
Why Dr. Amit Singhal started this University?,"We are living in unprecedented times where software has transformed how we live. From smartphones to smart wearables, from finding information to buying things, from banking to healthcare, from listening to music to driving a car, every aspect of our life is impacted by computers. This trend will only accelerate with the new age of AI and Machine Learning. The future belongs to nations who can make fundamental advances in Computer Science. To ensure that the brightest minds from underprivileged backgrounds in the world get an opportunity to study Computer Science, leaders from Silicon Valley, top American and European institutions, industry leaders, and venture capitalists have come together to build a new University focussed on Computer Science - Sitare University. The first Sitare batch was started in 2022 with twenty three students, the second batch admitted in 2023 has forty three students and the third batch with more than 155 students. We gradually increase this number to around one thousand admissions per year in 2030. Sitare students are selected based upon their JEE mains performance, as well as an interview."
Why Amit Singhal started this University?,"We are living in unprecedented times where software has transformed how we live. From smartphones to smart wearables, from finding information to buying things, from banking to healthcare, from listening to music to driving a car, every aspect of our life is impacted by computers. This trend will only accelerate with the new age of AI and Machine Learning. The future belongs to nations who can make fundamental advances in Computer Science. To ensure that the brightest minds from underprivileged backgrounds in the world get an opportunity to study Computer Science, leaders from Silicon Valley, top American and European institutions, industry leaders, and venture capitalists have come together to build a new University focussed on Computer Science - Sitare University. The first Sitare batch was started in 2022 with twenty three students, the second batch admitted in 2023 has forty three students and the third batch with more than 155 students. We gradually increase this number to around one thousand admissions per year in 2030. Sitare students are selected based upon their JEE mains performance, as well as an interview."
Why Amit started this University?,"We are living in unprecedented times where software has transformed how we live. From smartphones to smart wearables, from finding information to buying things, from banking to healthcare, from listening to music to driving a car, every aspect of our life is impacted by computers. This trend will only accelerate with the new age of AI and Machine Learning. The future belongs to nations who can make fundamental advances in Computer Science. To ensure that the brightest minds from underprivileged backgrounds in the world get an opportunity to study Computer Science, leaders from Silicon Valley, top American and European institutions, industry leaders, and venture capitalists have come together to build a new University focussed on Computer Science - Sitare University. The first Sitare batch was started in 2022 with twenty three students, the second batch admitted in 2023 has forty three students and the third batch with more than 155 students. We gradually increase this number to around one thousand admissions per year in 2030. Sitare students are selected based upon their JEE mains performance, as well as an interview."
Why was Sitare started?,"We are living in unprecedented times where software has transformed how we live. From smartphones to smart wearables, from finding information to buying things, from banking to healthcare, from listening to music to driving a car, every aspect of our life is impacted by computers. This trend will only accelerate with the new age of AI and Machine Learning. The future belongs to nations who can make fundamental advances in Computer Science. To ensure that the brightest minds from underprivileged backgrounds in the world get an opportunity to study Computer Science, leaders from Silicon Valley, top American and European institutions, industry leaders, and venture capitalists have come together to build a new University focussed on Computer Science - Sitare University. The first Sitare batch was started in 2022 with twenty three students, the second batch admitted in 2023 has forty three students and the third batch with more than 155 students. We gradually increase this number to around one thousand admissions per year in 2030. Sitare students are selected based upon their JEE mains performance, as well as an interview."
Why should i join sitare,"Sitare University has an industry focussed curriculum, provides individual attention to all students, takes full responsibility for student placements, and is completely free of cost."
Why I should join you?,"Sitare University has an industry focussed curriculum, provides individual attention to all students, takes full responsibility for student placements, and is completely free of cost."
How can I excel in computer science? I don't have any knowledge about programming language.,You don't need any prior knowledge of computer science to study at Sitare University. We will start from the very basics.
"If I wanted to join you, what expectations you expect from us?",We expect every SU student to study hard sincerely and do well in the courses at Sitare University. We also expect them to maintain very high standards of ethics and honesty.
What is the vision of University,"We are living in unprecedented times where software has transformed how we live. From smartphones to smart wearables, from finding information to buying things, from banking to healthcare, from listening to music to driving a car, every aspect of our life is impacted by computers. This trend will only accelerate with the new age of AI and Machine Learning. The future belongs to nations who can make fundamental advances in Computer Science. To ensure that the brightest minds from underprivileged backgrounds in the world get an opportunity to study Computer Science, leaders from Silicon Valley, top American and European institutions, industry leaders, and venture capitalists have come together to build a new University focussed on Computer Science - Sitare University. The first Sitare batch was started in 2022 with twenty three students, the second batch admitted in 2023 has forty three students and the third batch with more than 155 students. We gradually increase this number to around one thousand admissions per year in 2030. Sitare students are selected based upon their JEE mains performance, as well as an interview."
How many start ups are connected to university,"Our students have been offered internships in their first year itself by startups like Glean, Inmobi, Mathesis Advisers, Trademo, Chalo, Beans.ai, Skyroot, Yulu, Zeni, Tracxn, Moglix, Proshort, ChaiPoint, FirstHive and many more."
Who is the Python Faculty in Sitare,"As of 2024, we have more than 8 full time faculty, and several visiting faculty from top institutes of India and abroad. For further details, please visit our university website: https://sitare.org/univ/"
What is the Name of Python Faculty in Sitare University,"As of 2024, we have more than 8 full time faculty, and several visiting faculty from top institutes of India and abroad. For further details, please visit our university website: https://sitare.org/univ/"
Who Is the Founder Of This University,"Sitare University was founded by Dr. Amit Singhal, who was earlier Senior Vice President of Google Search."
What is income source of sitare university?,"The university is being completely funded by its founder, Dr. Amit Singhal."
How much we get if I get any external scholarship rather than sitare foundation scholarship,This has to be discussed on a case to case basis. Please drop us an email for further discussion.
Does sitare offer research?,"Our faculty members have PhD from top institutes in India and abroad, and so students interested in research will surely get the required training."
Extra curricular activities at sitare?,"We actively encourage our students to play some sports and games on a regular basis since it keeps the mind fresh and the body healthy. We have very good facilities for many different sports including cricket, football, basketball, etc. We also have several student clubs for various activities like music, startups, etc."
What is the maximum amount received by sitare students in their placement?,"Our first batch is now in third year, and so it will take one more years for us to provide placement information. But given the quality of our training and the large network of startups that we have, placements and packages will not be a problem for any student."
What is the maximum salary received by students from sitare?,"Our first batch is now in third year, and so it will take one more years for us to provide placement information. But given the quality of our training and the large network of startups that we have, placements and packages will not be a problem for any student."
Can Sitare University change the underprivileged students life?,"Sitare University has an industry focussed curriculum, provides individual attention to all students, takes full responsibility for student placements, and is completely free of cost."
What motivates the founder to invest his money in this university for the students?,"Dr. Amit Singhal was one of the early employees of Google, and worked there for more than fifteen years. He was in-charge of Google Search for a very long time. He benefitted from Google's financial success, becoming quite financially successful themselves. He wanted to use majority of their net worth to do something that would transform society, and after a lot of brainstorming, he settled down on educating bright students from economically weak backgrounds. Dr. Amit has not only put in his own money into this initiative, he is also investing most of his time and energy in making sure that Sitare University turns out to be a global leader in Computer Science education in the years to come."
How does the university support students in developing leadership skills,We have a huge focus on improving communication skills and a large part of your first year will be spent in learning English and communication skills. These communication skills combined with excellent technical skills is what will make our students good leaders in the future.
Is there any rule if the student fails to perform than money is charged,"After admission, students have to maintain a CGPA of at least 6.0 to continue to get Sitare scholarship."
What is the campus safety and security like,"Our campus is very safe and secure, with many security guards present around the campus 24/7. Please don't worry about it. It is our responsbility to take care of your safety when you are with us."
Are there opportunities for undergraduate research or participation in research projects?,"Our faculty members have PhD from top institutes in India and abroad, and so students interested in research will surely get the required training."
Do you have any doctor on campus?,We have doctors available both on campus and in nearby hospitals.
Do you have any medical facilities?,We have doctors available both on campus and in nearby hospitals.
What if a student falls sick?,We have doctors available both on campus and in nearby hospitals.
how many are in 1st year?,"As of 2024, We have 158 first year students at Sitare University."
how many are in 2nd year?,"As of 2024, We have 43 second year students at Sitare University."
how many are in 3rd year?,"As of 2024, We have 23 third year students at Sitare University."
Total students at Sitare?,"As of 2024, We have total 221 students. "
Will i get workload there?,We expect every SU student to study hard sincerely and do well in the courses at Sitare University. We also expect them to maintain very high standards of ethics and honesty.
How much holidays are provided per year,"We have a summer break of 3 months, which will be spent in a company for internship. Apart from that we have 1 week break every semester when students can go home."
Are there any restrictions?,"There are usual restrictions that every university hostel has. Apart from that, we have a very free atmosphere."
it is not a scam,"Dr. Amit Singhal was one of the early employees of Google, and worked there for more than fifteen years. He was in-charge of Google Search for a very long time. He benefitted from Google's financial success, becoming quite financially successful themselves. He wanted to use majority of their net worth to do something that would transform society, and after a lot of brainstorming, he settled down on educating bright students from economically weak backgrounds. Dr. Amit has not only put in his own money into this initiative, he is also investing most of his time and energy in making sure that Sitare University turns out to be a global leader in Computer Science education in the years to come."
What are the policies?,"Students will be informed about the policies in detail after their admission is confirmed. If there is any specific you need to know, please drop us an email."
What if a third year student is not able to get internship? Since it will be one year complete internship program.,"We strongly believe that Sitare University is currently the best place to study Computer Science in India. Sitare University has an industry focussed curriculum, provides individual attention to all students, takes full responsibility for student placements, and is completely free of cost."
Is sitare university free for all?,Sitare University provides scholarship to all deserving students whose annual family income is below INR 3 lakhs.
"In this modern world, this fast growing technology seems very interesting to me, that's why I had chosen CS, but as I belong to a lower middle class family, I want to pursue that field of education, which can secure my future financially, that's also a big reason.","We strongly believe that Sitare University is currently the best place to study Computer Science in India. Sitare University has an industry focussed curriculum, provides individual attention to all students, takes full responsibility for student placements, and is completely free of cost."
"Third batch of Sitare University is of around 160,then all will get internship for the upcoming summer??",We provide extensive practical training in topics related to Data Science and so we are confident that students who are in interested in this field will surely get suitable placement opportunities.
How many members are in teaching staff?,"As of 2024, we have more than 8 full time faculty, and several visiting faculty from top institutes of India and abroad. For further details, please visit our university website: https://sitare.org/univ/"
What sets this University apart from other Universities in Computer science field field?,"Dr. Amit Singhal was one of the early employees of Google, and worked there for more than fifteen years. He was in-charge of Google Search for a very long time. He benefitted from Google's financial success, becoming quite financially successful themselves. He wanted to use majority of their net worth to do something that would transform society, and after a lot of brainstorming, he settled down on educating bright students from economically weak backgrounds. Dr. Amit has not only put in his own money into this initiative, he is also investing most of his time and energy in making sure that Sitare University turns out to be a global leader in Computer Science education in the years to come."
What will be the average package ?,"Our first batch is now in third year, and so it will take one more years for us to provide placement information. But given the quality of our training and the large network of startups that we have, placements and packages will not be a problem for any student."
What is average package?,"Our first batch is now in third year, and so it will take one more years for us to provide placement information. But given the quality of our training and the large network of startups that we have, placements and packages will not be a problem for any student."
"what is the approximate value of stipend given during first , 2nd and after 3rd year internship","Our first batch is now in third year, and so it will take one more years for us to provide placement information. But given the quality of our training and the large network of startups that we have, placements and packages will not be a problem for any student."
When we will move to sitare campus ?,"Our permanent campus is coming up on the Bhopal-Indore highway, and should be ready for moving in sometime in 2025. Till then we are operating from the campus of Sri Ramswaroop College of Engineering and Management in Lucknow."
When our main campus will be ready exactly?,"Our permanent campus is coming up on the Bhopal-Indore highway, and should be ready for moving in sometime in 2025. Till then we are operating from the campus of Sri Ramswaroop College of Engineering and Management in Lucknow."
When will we shift to indore campus?,"Our permanent campus is coming up on the Bhopal-Indore highway, and should be ready for moving in sometime in 2025. Till then we are operating from the campus of Sri Ramswaroop College of Engineering and Management in Lucknow."
How long will it take for the new campus to be made? When will we be moving to our own campus ?,"Our permanent campus is coming up on the Bhopal-Indore highway, and should be ready for moving in sometime in 2025. Till then we are operating from the campus of Sri Ramswaroop College of Engineering and Management in Lucknow."
When will Campus built?,"Our permanent campus is coming up on the Bhopal-Indore highway, and should be ready for moving in sometime in 2025. Till then we are operating from the campus of Sri Ramswaroop College of Engineering and Management in Lucknow."
When will our campus be built?,"Our permanent campus is coming up on the Bhopal-Indore highway, and should be ready for moving in sometime in 2025. Till then we are operating from the campus of Sri Ramswaroop College of Engineering and Management in Lucknow."
When it will have permanent campus?,"Our permanent campus is coming up on the Bhopal-Indore highway, and should be ready for moving in sometime in 2025. Till then we are operating from the campus of Sri Ramswaroop College of Engineering and Management in Lucknow."
Where is its campus located ?,"Our permanent campus is coming up on the Bhopal-Indore highway, and should be ready for moving in sometime in 2025. Till then we are operating from the campus of Sri Ramswaroop College of Engineering and Management in Lucknow."
Will internship is provided for all the student ?,We provide extensive practical training in topics related to Data Science and so we are confident that students who are in interested in this field will surely get suitable placement opportunities.
Does Coding club/ AI club /founders forum helps in Internship to those students who are part of it ?,We provide extensive practical training in topics related to Data Science and so we are confident that students who are in interested in this field will surely get suitable placement opportunities.
